Date,AAPL,AMZN,BRK-B,GOOGL,JPM,META,MSFT,NVDA,TSLA
2019-10-01,54.0791130065918,86.78250122070312,206.7100067138672,59.88695526123047,97.62236022949219,174.7328338623047,129.9468231201172,4.327703952789307,16.312667846679688
2019-10-02,52.72345733642578,85.6614990234375,203.10000610351562,58.49257278442383,95.6792221069336,173.5302276611328,127.65254211425781,4.303826808929443,16.208667755126953
2019-10-03,53.17133331298828,86.22100067138672,204.97999572753906,59.06412887573242,95.54295349121094,178.28097534179688,129.19786071777344,4.509516716003418,15.535332679748535
2019-10-04,54.66181182861328,86.98249816894531,208.0800018310547,60.13325500488281,97.61238098144531,179.34439086914062,130.94224548339844,4.525932788848877,15.428667068481445
2019-10-07,54.673858642578125,86.63300323486328,207.24000549316406,59.998680114746094,97.39949798583984,178.5791015625,129.99420166015625,4.584629058837891,15.847999572753906
2019-10-08,54.033363342285156,85.27549743652344,204.08999633789062,59.09888458251953,95.22785949707031,176.6609649658203,128.61956787109375,4.40803861618042,16.003332138061523
2019-10-09,54.66664123535156,86.09950256347656,206.69000244140625,59.708187103271484,95.91765594482422,178.748046875,131.05604553222656,4.494593620300293,16.302000045776367
2019-10-10,55.40346145629883,86.01300048828125,206.86000061035156,60.05926513671875,97.26322937011719,178.9269561767578,131.87132263183594,4.5522966384887695,16.31599998474121
2019-10-11,56.87709426879883,86.59600067138672,208.0800018310547,60.3691291809082,98.90684509277344,183.06149291992188,132.42115783691406,4.62591552734375,16.525999069213867
2019-10-14,56.795223236083984,86.82150268554688,207.91000366210938,60.4714241027832,99.17082977294922,182.1570587158203,132.29794311523438,4.639347553253174,17.130666732788086
2019-10-15,56.662784576416016,88.36900329589844,209.3800048828125,61.68653869628906,102.1600112915039,187.732666015625,134.21298217773438,4.884085655212402,17.19266700744629
2019-10-16,56.434043884277344,88.87149810791016,209.2899932861328,61.72428512573242,101.92157745361328,188.38864135742188,133.11325073242188,4.830362796783447,17.316667556762695
2019-10-17,56.65315628051758,89.3740005493164,208.6199951171875,62.21092224121094,102.49215698242188,189.22349548339844,132.43064880371094,4.832353591918945,17.46466636657715
2019-10-18,56.92523956298828,87.87550354003906,208.75999450683594,61.7943000793457,102.67101287841797,184.71133422851562,130.26914978027344,4.737839221954346,17.1299991607666
2019-10-21,57.912479400634766,89.28299713134766,211.49000549316406,61.787841796875,105.21733856201172,188.59735107421875,131.23609924316406,4.875133037567139,16.899999618530273
2019-10-22,57.78006362915039,88.2864990234375,210.6199951171875,61.63490295410156,106.27334594726562,181.22280883789062,129.28317260742188,4.865184307098389,17.038667678833008
2019-10-23,58.55540084838867,88.1084976196289,210.9600067138672,62.450775146484375,106.55436706542969,185.0094757080078,130.1079864501953,4.852251052856445,16.978666305541992
2019-10-24,58.651710510253906,89.03900146484375,210.25999450683594,62.52426528930664,106.47772216796875,185.23806762695312,132.66766357421875,4.896273136138916,19.978666305541992
2019-10-25,59.374080657958984,88.06649780273438,211.8000030517578,62.78199005126953,107.32933807373047,186.7388153076172,133.41664123535156,5.087289810180664,21.875333786010742
2019-10-28,59.968841552734375,88.85399627685547,212.86000061035156,64.00753784179688,107.7381362915039,188.2395782470703,136.6968231201172,5.143250942230225,21.847333908081055
2019-10-29,58.58188247680664,88.135498046875,213.00999450683594,62.601234436035156,107.66998291015625,188.1501007080078,135.407470703125,5.046997547149658,21.08133316040039
2019-10-30,58.57465744018555,88.99949645996094,213.25,62.60322189331055,107.07386016845703,187.0966033935547,137.09498596191406,5.048988342285156,21.000667572021484
2019-10-31,59.899009704589844,88.83300018310547,212.5800018310547,62.50886535644531,106.38404846191406,190.4757843017578,135.91943359375,4.9997406005859375,20.994667053222656
2019-11-01,61.598995208740234,89.5719985961914,215.8300018310547,63.17676544189453,108.83670043945312,192.43370056152344,136.25123596191406,5.038789749145508,20.887332916259766
2019-11-04,62.00351333618164,90.23300170898438,217.97999572753906,64.03881072998047,109.70535278320312,193.52696228027344,137.0380859375,5.235525608062744,21.1646671295166
2019-11-05,61.914424896240234,90.08550262451172,220.8800048828125,64.12968444824219,109.94380187988281,193.12940979003906,136.95281982421875,5.213390350341797,21.148000717163086
2019-11-06,61.94090270996094,89.78849792480469,222.0,64.10834503173828,110.1141357421875,190.3764190673828,136.57351684570312,5.164144039154053,21.77199935913086
2019-11-07,62.65577697753906,89.41000366210938,222.74000549316406,64.89938354492188,110.71025848388672,189.2532958984375,136.76315307617188,5.1818037033081055,22.369333267211914
2019-11-08,62.827266693115234,89.29399871826172,221.30999755859375,65.0016860961914,111.03388214111328,189.6707305908203,138.37481689453125,5.167874813079834,22.47599983215332
2019-11-11,63.32477951049805,88.5824966430664,220.85000610351562,64.46934509277344,110.64213562011719,188.44827270507812,138.5170135498047,5.177823543548584,23.006000518798828
2019-11-12,63.26681137084961,88.9000015258789,220.88999938964844,64.41621398925781,109.99490356445312,193.27850341796875,139.42715454101562,5.213390350341797,23.32866668701172
2019-11-13,63.87302017211914,87.65550231933594,219.77000427246094,64.36506652832031,109.41580963134766,192.00633239746094,139.6546630859375,5.187522888183594,23.073999404907227
2019-11-14,63.43105697631836,87.7300033569336,219.36000061035156,65.00910949707031,109.51803588867188,191.966552734375,140.36573791503906,5.21786642074585,23.290000915527344
2019-11-15,64.1845703125,86.97450256347656,219.74000549316406,66.22026824951172,110.30998229980469,193.9046630859375,142.17640686035156,5.078584671020508,23.47800064086914
2019-11-18,64.50820922851562,87.62650299072266,219.35000610351562,65.53996276855469,111.23826599121094,196.19052124023438,142.5272216796875,5.279797077178955,23.332666397094727
